,Client ID,Variation,gendr,clnt_age,start_to_step_1_mins,step_1_to_2_mins,step_2_to_3_mins,step_3_to_con_mins,total_time_mins
251855,4320662,Control,M,60.0,1.6333333333333333,5.183333333333334,11.4,1.5166666666666666,9.816666666666666
251868,73331,Control,F,50.5,0.15,0.23333333333333334,1.1166666666666667,0.6,2.1
251873,2962779,Control,F,66.5,0.35,0.9833333333333333,0.85,1.5833333333333333,3.683333333333333
251880,3302766,Control,M,55.5,0.25,0.21666666666666667,4.616666666666666,2.8,7.883333333333334
251885,7619560,Test,F,31.5,1.2666666666666666,0.7333333333333333,1.2,1219.6,1222.6833333333334
251899,7168887,Test,F,47.0,0.15,0.6333333333333333,1.5166666666666666,0.26666666666666666,2.15
251913,8687998,Control,F,45.5,9.983333333333333,0.8333333333333334,3.1,2.183333333333333,7.9
251925,985965,Test,U,24.0,0.16666666666666666,0.65,1.8166666666666667,0.0,0.0
251931,2775504,Test,M,32.0,8.333333333333334,0.5833333333333334,2.966666666666667,1768.1,1771.4
251951,5006380,Control,M,49.5,1.1666666666666667,0.2,4.0,4.516666666666667,9.883333333333333
251956,6544929,Test,F,33.5,0.16666666666666666,0.23333333333333334,2.9166666666666665,0.6,3.9166666666666665
251962,5513189,Test,F,38.0,0.9333333333333333,0.4,2.15,1.3,4.783333333333333
251967,2028637,Control,F,38.0,0.2,0.8666666666666667,1.9166666666666667,0.5333333333333333,1.6666666666666667
251983,7600180,Control,F,41.5,0.75,1.1833333333333333,0.6833333333333333,2.75,5.366666666666666
251989,3336392,Test,U,39.5,0.13333333333333333,0.65,1.9833333333333334,0.6166666666666667,3.3833333333333333
251995,4066551,Control,M,30.0,0.2,0.08333333333333333,1.1333333333333333,0.38333333333333336,1.8
252000,4466183,Control,F,32.5,0.2,0.38333333333333336,3.3333333333333335,0.26666666666666666,4.183333333333334
252008,5410293,Test,M,62.0,3.0,1.1833333333333333,0.0,0.0,0.0
252015,6308456,Test,M,39.5,0.16666666666666666,0.25,1.0333333333333334,3.033333333333333,4.483333333333333
252020,3725247,Control,M,39.5,1.2,0.23333333333333334,8.983333333333333,4.9,15.316666666666666
252025,4787598,Control,F,56.5,0.4166666666666667,4.75,0.2833333333333333,0.8333333333333334,6.283333333333333
252035,6347993,Test,M,36.0,0.3,0.1,0.8333333333333334,0.3,1.5333333333333334
252042,3558302,Control,F,38.0,1.85,0.2,1.1333333333333333,0.5333333333333333,3.466666666666667
252048,2010364,Test,M,34.0,0.18333333333333332,0.3,0.8666666666666667,4.2,5.55
252053,397574,Control,M,55.5,0.3333333333333333,0.8166666666666667,0.95,1.1666666666666667,3.2666666666666666
252058,6901638,Control,M,31.5,0.35,0.2,2.0166666666666666,1.1166666666666667,3.683333333333333
252063,2700516,Control,M,67.0,0.11666666666666667,0.5833333333333334,0.0,0.0,0.0
252066,2060326,Test,U,31.5,0.3,0.48333333333333334,3.283333333333333,10.183333333333334,14.25
252072,6519466,Control,U,30.0,3.0,0.2,1.2333333333333334,0.0,0.0
252078,851431,Control,F,56.0,3.05,1.0166666666666666,1.4166666666666667,0.0,0.0
252088,8578242,Test,M,29.5,0.7333333333333333,2.4,3.5166666666666666,2.966666666666667,9.616666666666667
252095,9592900,Test,M,38.5,0.15,0.6166666666666667,1.05,1817.5,1819.3166666666666
252101,1011388,Test,M,33.5,0.2833333333333333,0.36666666666666664,1.1,0.6166666666666667,2.3666666666666667
252106,476642,Test,M,62.5,0.16666666666666666,0.55,0.4666666666666667,3.4833333333333334,4.666666666666667
252111,507290,Test,M,55.5,1.3166666666666667,5.0,4.616666666666666,1.0666666666666667,12.0
252120,4622994,Control,F,47.0,0.25,0.5166666666666667,1.2166666666666666,1.7666666666666666,3.75
252128,4177841,Control,F,41.5,0.5833333333333334,0.15,5.333333333333333,0.38333333333333336,1.5
252137,1133720,Test,F,43.5,0.16666666666666666,3.933333333333333,3.0,1.0333333333333334,8.133333333333333
252142,8984668,Test,F,61.5,0.75,0.2833333333333333,0.5,37784.333333333336,31292.1
252156,38685,Control,F,53.0,1.0833333333333333,0.45,1.3333333333333333,4420.883333333333,4423.75
252162,556786,Control,M,42.5,0.38333333333333336,0.2833333333333333,0.75,0.7166666666666667,1.7
252170,6046408,Test,F,41.0,0.6333333333333333,0.18333333333333332,0.6333333333333333,0.36666666666666664,1.55
252177,5143624,Test,M,52.0,3.566666666666667,8.016666666666667,0.0,0.0,0.0
252194,3276529,Control,F,41.0,0.23333333333333334,0.23333333333333334,2.5166666666666666,0.38333333333333336,2.0833333333333335
252204,2259706,Control,F,64.5,0.5666666666666667,1.25,0.75,12.7,15.266666666666667
252209,5848988,Test,M,54.0,5.916666666666667,1.45,1.2,0.0,0.0
252218,3091837,Test,F,56.5,0.48333333333333334,0.6166666666666667,2.7333333333333334,1.15,4.983333333333333
252223,7982935,Test,U,53.0,0.5666666666666667,1.0833333333333333,0.0,0.0,0.0
252236,9397189,Control,M,54.5,0.2,0.13333333333333333,0.8833333333333333,1.1666666666666667,2.3833333333333333
252242,9402587,Control,U,26.0,0.13333333333333333,0.6333333333333333,2.5166666666666666,0.43333333333333335,3.716666666666667
252247,6685212,Control,M,32.5,0.08333333333333333,0.3333333333333333,1.1333333333333333,0.5666666666666667,2.1166666666666667
252252,9361231,Control,F,35.5,0.43333333333333335,0.1,0.23333333333333334,0.6333333333333333,1.4
252258,4178665,Control,M,28.5,0.06666666666666667,0.16666666666666666,2.1333333333333333,0.7333333333333333,3.1
252265,5869318,Control,M,30.5,0.43333333333333335,0.18333333333333332,1.4833333333333334,1.95,4.05
252271,9710210,Test,M,54.5,0.9,1.5833333333333333,2.4,4.316666666666666,9.2
252279,4792254,Control,F,69.0,0.1,0.0,0.0,0.0,0.0
252283,8619261,Control,F,29.0,0.2833333333333333,0.08333333333333333,0.36666666666666664,1.4,2.1333333333333333
252289,5206671,Test,M,29.0,5.366666666666666,4.866666666666666,0.35,0.0,0.0
252296,2114924,Control,U,50.0,0.13333333333333333,0.31666666666666665,0.45,0.2833333333333333,1.1833333333333333
252301,8562779,Control,M,35.5,0.16666666666666666,0.16666666666666666,0.8666666666666667,0.4166666666666667,1.55
252308,9239428,Control,M,22.0,0.1,0.3,1.05,1.8833333333333333,3.3333333333333335
252313,581041,Test,M,26.0,0.23333333333333334,0.26666666666666666,1.1333333333333333,0.35,1.8833333333333333
